"subscription_rk","возраст","пол","кол-во детей","флаг отказа от коммуникаций","доход","возраст в банке","гео","дата подключения","дата отключения","активных дней","выгода","кол-во опций","активная дебетовая карта","активная кредитка","НС","активный мобаил","активный брокерский счет","вклад","флаг оплаты подписки","кол-во партнерских подписок","оборот","кол-во транзакций","транзакций кино","транзакций развлечения","транзакций фастфуд","транзакций музыка","транзакций рестораны","транзакций в оффере партнеров"
"734738760","61","F","0","0","60000","3186","Воронеж","2022-01-03","2022-02-03","25","0","2","1","0","0","1","1","0","0","0","230093.66","14","0","0","1","0","1","5"
"20241254","36","M","0","0","","776","Ростов-На-Дону","2022-10-02","2023-01-06","95","1014.84","5","1","0","1","1","1","0","1","1","31786.52","16","0","0","0","0","0","3"
"498778225","37","F","0","0","60000","174","Барнаул","2022-06-29","2022-12-04","157","39.3","4","1","0","1","0","0","0","1","0","27412.38","27","0","0","3","0","1","0"
"102680206","35","M","0","0","200000","3609","Москва","2022-05-11","2022-10-11","145","446.28","5","1","1","0","0","1","0","1","0","108461.8","110","0","3","30","0","5","1"
"163844549","45","M","0","0","80000","208","Санкт-Петербург","2022-09-04","","216","116.16","3","1","0","0","0","1","0","1","0","36825.41","72","0","0","26","0","1","0"
"426439862","20","M","0","0","40000","-24","Самара","2022-01-15","2022-06-21","126","192.96","6","1","0","1","1","0","0","1","0","5893.66","52","0","0","3","0","1","1"
"244471484","24","M","0","0","60000","1525","Москва","2022-10-07","2022-11-01","24","83.09","3","1","0","0","0","0","0","0","0","20638.17","96","0","3","18","0","1","1"
"276207049","29","M","0","0","50000","1368","Красноярск","2022-11-04","","155","177.04","3","1","0","0","0","1","0","0","1","53400.52","57","0","0","12","0","18","4"
"185666639","22","M","0","0","35000","57","Керчь","2022-04-06","2023-01-06","262","12.71","3","1","1","0","1","0","0","1","0","24118.88","147","0","0","3","0","1","1"
"376907475","40","F","0","0","50000","1628","Нижний Тагил","2022-09-27","2023-01-27","111","502.92","6","1","1","0","0","1","0","1","0","163710.28","87","1","3","12","0","10","3"
"742048005","27","M","0","0","77500","1672","Заволжье","2022-04-06","","367","120.41","4","0","1","0","0","0","0","1","0","43828.3","26","0","0","7","0","1","0"
"260190915","35","M","0","0","80000","2024","Кимры","2022-02-08","2022-08-01","173","391.59","6","1","0","1","0","1","0","1","0","70916.14","107","0","0","5","0","1","1"
"342520557","33","F","0","0","","29","Екатеринбург","2022-03-10","","394","268.93","6","1","0","0","0","0","0","1","0","55586.47","68","0","1","4","0","3","3"
"112071016","21","M","0","0","","489","Санкт-Петербург","2022-11-01","2023-04-01","122","39.45","2","1","0","0","0","0","0","0","0","34528.48","98","0","11","12","0","3","1"
"883003864","69","F","0","0","","2414","Архангельск","2022-10-26","2023-02-26","124","153.09","3","1","0","1","0","0","0","1","0","41975.29","170","0","0","27","0","1","4"
"321407379","23","F","0","0","30000","238","Уфа","2022-10-04","","186","216.67","5","1","0","0","1","0","0","1","0","14652.03","30","0","0","3","0","0","0"
"123183355","16","M","0","0","","128","Красноярск","2022-06-16","2023-01-16","213","75.03","4","0","0","0","1","0","0","0","1","4798.44","15","0","0","0","0","0","0"
"27616254","38","M","0","0","210000","913","МО","2022-01-06","2023-01-06","345","489.16","4","1","0","0","0","0","0","1","0","104508.03","73","0","0","29","0","1","7"
"957846970","19","M","0","0","50000","57","Тюмень","2022-04-06","2022-05-06","4","135.51","3","1","0","0","0","0","0","0","0","24122.24","72","1","0","5","0","1","1"
"380308655","40","M","0","0","250000","1687","МО","2022-04-27","2022-10-27","182","391.22","5","1","1","0","0","0","0","1","0","109197.17","130","1","1","19","0","1","1"
"378666563","19","F","0","0","35000","389","Новотроицк","2022-10-03","2023-03-03","125","282.49","4","1","0","0","0","0","0","1","0","3755.91","18","0","0","4","0","0","3"
"87696736","57","F","","0","100000","1102","Москва","2022-09-07","","213","185.31","5","1","0","0","0","0","0","1","0","13091.6","20","0","0","0","0","0","1"
"835424509","27","F","0","0","80000","104","Таганрог","2022-04-11","2022-06-11","56","0","2","1","1","0","0","1","0","1","0","63064.66","117","0","3","37","0","3","4"
"414977653","23","F","0","0","30000","572","Владикавказ","2022-04-02","2022-06-26","55","103.63","3","0","0","0","0","1","0","1","1","1469.07","10","0","0","1","0","0","0"
"271671141","34","F","0","0","","161","Москва","2022-08-12","","239","103.26","3","1","0","0","0","0","0","1","0","37647.11","43","0","0","3","0","0","4"
"112489032","33","F","0","0","40000","308","Москва","2022-12-13","2022-12-27","14","84","3","0","1","0","0","0","0","0","0","11762.09","29","0","0","0","0","0","4"
"754797263","44","F","0","0","135000","1927","Краснодар","2022-06-24","2022-10-24","126","284.64","5","1","0","1","0","0","0","1","0","19898.31","61","0","0","7","0","1","1"
"514764716","26","M","0","0","90000","203","Москва","2022-08-31","2023-01-30","151","73.8","4","1","0","1","0","0","1","1","0","22346.58","42","0","0","7","0","0","4"
"283791517","33","M","0","0","240000","2438","МО","2022-04-08","2022-12-08","233","540.28","6","1","0","1","1","1","1","1","0","10357.48","30","0","0","0","0","0","3"
"873199312","29","M","","0","","161","Киров","2022-08-30","","221","126.99","4","1","0","0","0","0","0","1","0","58766.75","162","0","0","14","0","1","3"
"23791835","21","F","0","0","50000","675","Кременки","2022-10-17","2022-11-17","28","269.77","4","1","0","1","0","0","0","0","1","2718.99","8","0","0","1","0","0","0"
"341682702","28","M","0","0","50000","370","Буинск","2022-06-09","2022-08-08","0","138.83","3","0","1","0","0","0","0","0","0","1595.75","4","0","0","0","0","0","0"
"279792220","37","M","0","0","28000","684","ЛенОбл","2022-06-10","2022-07-10","4","148.14","4","1","0","0","0","0","0","0","0","5673.94","23","0","0","0","0","1","3"
"511027136","62","F","0","0","80000","2042","Волгоград","2022-08-03","","248","135.72","5","1","0","0","0","1","0","1","0","29396.55","30","0","0","3","0","0","0"
"936044961","22","F","0","0","20000","217","Воронеж","2022-09-12","2022-10-12","25","2584","2","1","0","0","0","0","0","1","0","60707.2","160","0","0","16","0","1","3"
"841513705","48","F","0","0","900000","524","Москва","2022-09-29","","191","189.66","3","0","0","0","0","1","0","1","0","16765.12","4","0","1","0","0","1","0"
"347918650","21","F","0","0","","426","Москва","2022-09-30","","190","315.85","6","1","0","1","0","0","0","1","0","58421.48","117","0","4","16","0","3","3"
"94376559","40","M","0","0","40000","1143","Калуга","2022-08-31","2022-12-28","119","11.5","2","1","0","0","1","0","0","0","0","9207.34","12","0","0","0","0","0","8"
"397945044","35","F","0","0","35000","1454","Обнинск","2022-08-01","2022-11-01","91","137.25","4","1","0","0","0","0","0","0","0","28054.71","10","0","0","0","0","0","0"
"937582836","36","M","0","0","150000","3145","Москва","2022-02-19","2023-02-22","367","1021.61","5","1","0","0","0","0","0","1","0","106012.41","26","0","0","4","0","3","4"
"202345643","38","M","2","0","200000","464","Краснодар","2022-08-30","","221","171.58","3","1","0","0","0","1","0","1","0","69783.93","77","0","0","5","0","1","1"
